age,pages,first_item_prize,gender,ReBuy,News_click,country,revenue
41.0,6.0,28.0,Fem,False,4.0,China,113
34.0,4.0,15.5,Fem,True,2.0,China,36
38.0,5.0,?,Fem,False,7.0,China,111
20.0,1.0,44.0,Fem,False,2.0,China,71
39.0,10.0,10.0,Fem,True,4.0,China,80
39.0,8.0,44.0,Fem,False,5.0,China,unknown
36.0,6.0,44.0,Masc,False,2.0,China,51
68.0,4.0,57.0,Masc,False,7.0,China,128
42.0,7.0,42.0,Masc,True,5.0,China,114
40.0,12.0,42.0,Fem,False,5.0,China,109
35.0,9.0,78.0,Masc,True,3.0,China,42
28.0,3.0,102.0,Masc,False,0.0,China,28
39.0,5.0,57.0,Fem,True,4.0,China,165
25.0,7.0,78.0,Masc,False,1.0,China,93
35.0,5.0,28.0,Fem,False,1.0,China,40
36.0,8.0,117.0,Fem,False,4.0,China,311
40.0,3.0,15.5,Masc,False,7.0,China,60
73.0,8.0,102.0,Fem,False,6.0,China,188
33.0,5.0,28.0,Masc,True,6.0,China,73
42.0,6.0,42.0,Masc,False,3.0,China,39
37.0,8.0,102.0,Masc,False,7.0,China,235
35.0,8.0,15.5,Masc,True,4.0,China,106
32.0,4.0,22.0,Fem,False,3.0,China,66
49.0,2.0,22.0,Masc,False,1.0,China,61
39.0,5.0,15.5,Fem,True,4.0,China,118
44.0,5.0,117.0,Fem,False,5.0,China,170
29.0,5.0,57.0,Fem,True,4.0,China,192
37.0,7.0,22.0,Fem,True,4.0,China,65
53.0,8.0,22.0,Fem,False,3.0,China,42
35.0,6.0,44.0,Fem,False,2.0,China,57
21.0,3.0,22.0,Fem,False,6.0,China,69
45.0,8.0,10.0,Fem,False,3.0,China,40
32.0,5.0,44.0,Fem,False,6.0,China,130
33.0,10.0,78.0,Fem,False,5.0,China,224
24.0,4.0,57.0,Fem,False,5.0,China,123
51.0,12.0,42.0,Fem,False,6.0,China,121
29.0,8.0,78.0,Masc,False,4.0,China,191
57.0,4.0,15.5,Masc,False,7.0,China,80
49.0,5.0,44.0,Masc,False,0.0,China,85
33.0,7.0,28.0,Fem,False,1.0,China,41
29.0,6.0,15.5,Masc,False,4.0,China,90
45.0,4.0,117.0,Masc,True,2.0,China,108
45.0,5.0,15.5,Fem,False,7.0,China,73
34.0,1.0,102.0,Masc,False,2.0,China,130
40.0,10.0,15.5,Fem,True,4.0,China,109
72.0,8.0,28.0,Fem,False,5.0,China,54
28.0,6.0,10.0,Masc,False,2.0,China,49
33.0,4.0,10.0,Fem,False,7.0,China,74
32.0,7.0,44.0,Masc,True,5.0,China,258
32.0,12.0,44.0,Masc,False,5.0,China,68
